Top,Mentioned entities,,Context entities,,Relations,
#,Label,Count,Label,Count,Label,Count
1,Ubuntu_(philosophy),1605,Ubuntu_(operating_system),1058,ontology/wikiPageWikiLink,51014
2,Sudo,708,Linux,725,gold/hypernym,319
3,Booting,676,Microsoft_Windows,208,ontology/genre,178
4,APT_(Debian),405,FreeBSD,175,ontology/operatingSystem,140
5,Live_CD,314,Smartphone,171,rdf-schema#seeAlso,116
,,,,,,
6,Disk_partitioning,302,Canonical_(company),163,ontology/license,97
7,Linux_kernel,293,Coronation_Street,162,ontology/product,87
8,Computer,285,Superuser,147,ontology/programmingLanguage,79
9,Web_server,254,Debian,135,ontology/wikiPageDisambiguates,78
10,Gnome,252,Manchester,123,ontology/wikiPageRedirects,50
,,,,,,
11,Laptop,252,London,123,ontology/developer,43
12,Microsoft_Windows,243,Wi-Fi,118,ontology/industry,43
13,File_system,235,Software,112,ontology/computingPlatform,29
14,Dev_Alahan,234,Command-line_interface,110,ontology/language,28
15,Hard_disk_drive,206,Computer_data_storage,110,ontology/location,26
16,Linux,191,GNU_General_Public_License,107,owl#differentFrom,18
17,Graphical_user_interface,187,Zulu_language,104,ontology/author,18
18,Superuser,165,Android_(operating_system),101,ontology/foundationPlace,15
19,Pastebin,160,United_States,90,ontology/type,14
20,Software,159,NetBSD,89,ontology/influencedBy,12
